ROI Label,ROI Name,R,A,S,Hemisphere,Network,Region,Member,Color
322,17Networks_RH_LimbicA_TempPole_4,40,-14,-32,RH,LimbicA,TempPole,4,cyan
323,17Networks_RH_LimbicA_TempPole_5,28,12,-30,RH,LimbicA,TempPole,5,cyan
321,17Networks_RH_LimbicA_TempPole_3,36,18,-38,RH,LimbicA,TempPole,3,cyan
324,17Networks_RH_LimbicA_TempPole_6,50,-28,-26,RH,LimbicA,TempPole,6,cyan
109,17Networks_LH_LimbicB_OFC_1,-12,24,-20,LH,LimbicB,OFC,1,cyan
111,17Networks_LH_LimbicB_OFC_3,-10,48,-22,LH,LimbicB,OFC,3,cyan
112,17Networks_LH_LimbicB_OFC_4,-4,24,-20,LH,LimbicB,OFC,4,cyan
113,17Networks_LH_LimbicB_OFC_5,-16,64,-8,LH,LimbicB,OFC,5,cyan
110,17Networks_LH_LimbicB_OFC_2,-24,22,-20,LH,LimbicB,OFC,2,cyan
318,17Networks_RH_LimbicB_OFC_6,10,62,-14,RH,LimbicB,OFC,6,cyan
313,17Networks_RH_LimbicB_OFC_1,14,24,-20,RH,LimbicB,OFC,1,cyan
314,17Networks_RH_LimbicB_OFC_2,22,22,-20,RH,LimbicB,OFC,2,cyan
315,17Networks_RH_LimbicB_OFC_3,8,46,-24,RH,LimbicB,OFC,3,cyan
316,17Networks_RH_LimbicB_OFC_4,20,42,-18,RH,LimbicB,OFC,4,cyan
317,17Networks_RH_LimbicB_OFC_5,4,22,-20,RH,LimbicB,OFC,5,cyan
87,17Networks_LH_SalVentAttnA_ParOper_2,-58,-44,28,LH,SalVentAttnA,ParOper,2,black
287,17Networks_RH_SalVentAttnA_ParOper_3,62,-26,38,RH,SalVentAttnA,ParOper,3,black
286,17Networks_RH_SalVentAttnA_ParOper_2,60,-22,22,RH,SalVentAttnA,ParOper,2,black
285,17Networks_RH_SalVentAttnA_ParOper_1,58,-32,24,RH,SalVentAttnA,ParOper,1,black
100,17Networks_LH_SalVentAttnA_FrMed_3,-8,-2,70,LH,SalVentAttnA,FrMed,3,black
99,17Networks_LH_SalVentAttnA_FrMed_2,-6,10,48,LH,SalVentAttnA,FrMed,2,black
98,17Networks_LH_SalVentAttnA_FrMed_1,-6,0,40,LH,SalVentAttnA,FrMed,1,black
97,17Networks_LH_SalVentAttnA_ParMed_3,-6,-48,56,LH,SalVentAttnA,ParMed,3,black
96,17Networks_LH_SalVentAttnA_ParMed_2,-12,-42,48,LH,SalVentAttnA,ParMed,2,black
93,17Networks_LH_SalVentAttnA_FrOper_1,-50,2,4,LH,SalVentAttnA,FrOper,1,black
94,17Networks_LH_SalVentAttnA_FrOper_2,-52,8,14,LH,SalVentAttnA,FrOper,2,black
86,17Networks_LH_SalVentAttnA_ParOper_1,-54,-32,22,LH,SalVentAttnA,ParOper,1,black
92,17Networks_LH_SalVentAttnA_Ins_4,-36,4,10,LH,SalVentAttnA,Ins,4,black
91,17Networks_LH_SalVentAttnA_Ins_3,-32,18,8,LH,SalVentAttnA,Ins,3,black
288,17Networks_RH_SalVentAttnA_PrC_1,52,4,40,RH,SalVentAttnA,PrC,1,black
90,17Networks_LH_SalVentAttnA_Ins_2,-40,-14,-2,LH,SalVentAttnA,Ins,2,black
89,17Networks_LH_SalVentAttnA_Ins_1,-38,2,-4,LH,SalVentAttnA,Ins,1,black
88,17Networks_LH_SalVentAttnA_ParOper_3,-62,-36,34,LH,SalVentAttnA,ParOper,3,black
95,17Networks_LH_SalVentAttnA_ParMed_1,-12,-28,42,LH,SalVentAttnA,ParMed,1,black
